,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,hepta,meanshift,7.0,0.37265466773681016,3.9943320941100137e-16,0.0
0,fcps,atom,linkage_single,2.0,1.0,1.0,1.0
0,fcps,atom,linkage_average,2.0,0.6462836986049043,0.21882677576382328,0.09862621818643044
0,fcps,atom,linkage_weighted,2.0,0.6611224913934425,0.31636782018245807,0.21320601935898448
0,fcps,atom,linkage_centroid,2.0,0.7066641477903172,0.0,0.0
0,fcps,atom,linkage_median,2.0,0.7066641477903172,0.0,0.0
0,fcps,atom,linkage_ward,2.0,0.6462836986049043,0.21882677576382328,0.09862621818643044
0,fcps,atom,genie,2.0,1.0,1.0,1.0
0,fcps,atom,kmeans,2.0,0.654708512069173,0.2923037752676171,0.18206807775637832
0,fcps,atom,dbscan,2.0,0.7066641477903172,0.0,0.0
0,fcps,atom,meanshift,2.0,0.7372517210903116,0.5197846914983116,0.5438504076288078
0,fcps,atom,linkage_single,3.0,0.9975031485305301,0.9887498240063564,0.995018734609279
0,fcps,atom,linkage_average,3.0,0.6338269028570386,0.25365098976395334,0.13494492708129416
0,fcps,atom,linkage_weighted,3.0,0.6649660135479346,0.3761676134497022,0.299320834060884
0,fcps,atom,linkage_centroid,3.0,0.6552962900290242,0.14602711127997692,0.039567264349393894
0,fcps,atom,linkage_median,3.0,0.7066641477903172,0.0,0.0
0,fcps,atom,linkage_ward,3.0,0.6597604950221668,0.3935267261600257,0.313676538127909
0,fcps,atom,genie,3.0,1.0,1.0,1.0
0,fcps,atom,kmeans,3.0,0.6961037147602347,0.4645585654258224,0.4135203424858542
0,fcps,atom,dbscan,3.0,0.7066641477903172,0.0,0.0
0,fcps,atom,meanshift,3.0,0.7372517210903116,0.5197846914983116,0.5438504076288078
0,fcps,atom,linkage_single,4.0,0.9925411047465635,0.9693335545172012,0.9851561465411935
0,fcps,atom,linkage_average,4.0,0.6284677879452879,0.3086658946003532,0.20771089420022334
0,fcps,atom,linkage_weighted,4.0,0.6304469905201624,0.33941333432092063,0.24743798533803213
0,fcps,atom,linkage_centroid,4.0,0.6359187006047755,0.18687417025999387,0.0654989485728055
0,fcps,atom,linkage_median,4.0,0.7066641477903172,0.0,0.0
0,fcps,atom,linkage_ward,4.0,0.6845264083443159,0.4516597684940307,0.4080056547514486
0,fcps,atom,genie,4.0,1.0,1.0,1.0
0,fcps,atom,kmeans,4.0,0.699087328240692,0.48326776005493777,0.448137059021271
0,fcps,atom,dbscan,4.0,0.7066641477903172,0.0,0.0
0,fcps,atom,meanshift,4.0,0.7372517210903116,0.5197846914983116,0.5438504076288078
0,fcps,atom,linkage_single,5.0,0.9827458845928638,0.9371480870852498,0.9658307756581695
0,fcps,atom,linkage_average,5.0,0.6386106016806834,0.36216837224762405,0.29275951937016415
0,fcps,atom,linkage_weighted,5.0,0.6182193390334375,0.32073411188625883,0.22952418787816956
0,fcps,atom,linkage_centroid,5.0,0.6265708618669076,0.20438207519810395,0.08241450966310129
0,fcps,atom,linkage_median,5.0,0.6598416991706281,0.12830147471555597,0.029373291297244697
0,fcps,atom,linkage_ward,5.0,0.7987105836854975,0.6758042722200454,0.6382274433961203
0,fcps,atom,genie,5.0,1.0,1.0,1.0
0,fcps,atom,kmeans,5.0,0.7217920198123621,0.5229058629974122,0.5065860948112243
0,fcps,atom,dbscan,5.0,0.7066641477903172,0.0,0.0
0,fcps,atom,meanshift,5.0,0.7372517210903116,0.5197846914983116,0.5438504076288078
0,fcps,lsun,linkage_single,2.0,0.7735590309066198,0.7010761923370552,0.5283687943262412
0,fcps,lsun,linkage_average,2.0,0.6436058356925375,0.3208434663154268,0.20963838933021464
